code,drug,class,is_metabolite,parent_code,hERG_IC50_nM,IC50_source,IC50_assay,assay_temp_C,IC50_confidence,fraction_bound,binding_source,cmax_total_pediatric_ngml,cmax_basis,cmax_source,cmax_confidence,MW_gmol,MW_confidence,data_quality,notes
MPH,Methylphenidate,Stimulant,0,,,,,,,,,,,,,,,not_applicable_herg,Modeled via sympathomimetic pathway not hERG. Needs concentration dependent reformulation.
AMP,Amphetamine,Stimulant,0,,,,,,,,,,,,,,,not_applicable_herg,Modeled via sympathomimetic pathway not hERG. Needs concentration dependent reformulation.
RIS,Risperidone,Antipsychotic,0,,160,"Chae Y J, Lee H J et al. Naunyn-Schmiedeberg's Arch Pharmacol 2017. Inhibition of cloned hERG potassium channels by risperidone and paliperidone.",whole_cell_patch_clamp_HEK_tail_current,22-24,high_but_room_temperature,0.880,"FDA Clinical Pharmacology/Biopharmaceutics Review NDA 20272/20588, reviewer Andre Jackson: ""The plasma protein binding of risperidone is 88%, while that of 9-hydroxyrisperidone is 77%."" NOTE DISCREPANCY: the Risperdal product label and Mannens et al state 90.0 percent. Using 88 as the more conservative (higher free) value.",15.9,measured_pediatric_parent_cmax,"Aman et al 2007, Clin Ther. Plasma risperidone Cmax mean 15.9 ng/mL (SD 22.2), Tmax 3.0 h, AUC 92.1 ng.h/mL in children with psychiatric or neurodevelopmental disorders. SD exceeds mean, consistent with CYP2D6 polymorphism.",high,410.5,medium,verified_patch_clamp_primary,"Cmax gap. Only active moiety TDM data found (20 to 60 ng/mL adult range; 33 ng/mL EPS threshold in minors). Need true pediatric parent Cmax. || TEMP: Paywalled, methods inaccessible. Hahn lab, Catholic Univ of Korea. See calibration note. || CYP2D6 SUBPOPULATIONS (same review, allometrically scaled CL/F, L/h): child 39kg age11 IM/PM 5.47 vs EM 20.8; adolescent 60kg age15 IM/PM 7.56 vs EM 28.7; adult 70kg IM/PM 8.48 vs EM 32.2. IM/PM clearance is ~3.8x lower. Estimated proportion of IM/PM population = 0.346. No Cmax table in review; population PK only."
9OHRIS,9-hydroxy-risperidone (paliperidone),Antipsychotic_metabolite,1,RIS,570,"Chae Y J, Lee H J et al. Naunyn-Schmiedeberg's Arch Pharmacol 2017.",whole_cell_patch_clamp_HEK_tail_current,22-24,high_but_room_temperature,0.770,Same FDA review. 9-hydroxyrisperidone 77 percent bound.,18.5,measured_pediatric_sum_of_enantiomers,Aman et al 2007. (+)-9-OH-risperidone Cmax 13.6 ng/mL (SD 10.0) plus (-)-9-OH-risperidone 4.9 ng/mL (SD 3.1).,high,426.5,medium,verified_patch_clamp_primary,Active metabolite often exceeds parent concentration. Must be modeled. || TEMP: Same paper as RIS.
QUE,Quetiapine,Antipsychotic,0,,8300,"Lee H J, Choi J S, Choi B H, Hahn S J. Neurosci Lett 2018. Effects of norquetiapine, the active metabolite of quetiapine, on cloned hERG potassium channels.",whole_cell_patch_clamp_HEK_tail_current,22-24,high_but_room_temperature,0.830,"Clinical Pharmacokinetics of Quetiapine, Clin Pharmacokinet 2001. Concordant across multiple sources.",1113.4,pediatric_cmax_at_max_dose_800mg_per_day,"FDA Clinical Pharmacology and Biopharmaceutics Review, NDA 20639 SE5-045/046, Seroquel pediatric efficacy supplement, reviewer Kofi A. Kumi. Cmax by daily dose in pediatric patients aged 10 to 17: 400 mg/day = 520.9 ng/mL, 600 mg/day = 1023.6, 800 mg/day = 1113.4.",high,383.5,medium,verified_patch_clamp_primary,"Alternate IC50 5765 nM from Kongsamut 2002 Eur J Pharmacol, assay method unconfirmed. Old table had 1070 nM, wrong by 5 to 8 fold. Non player either way. || TEMP: Lee/Choi/Choi/Hahn 2018, same lab as RIS. See calibration note. || FDA VALIDATION ANCHOR: same review models pediatric ddQTcF as 5.4 ms (400 mg/day), 6.8 (600), 6.9 (800), all under 10 ms, and observed mean dQTcF in the two pivotal pediatric trials was about 2 ms. FDA also chose Fridericia over Bazett after inspecting the QT-RR relationship in these patients."
ARI,Aripiprazole,Antipsychotic,0,,,,,,unresolved,0.990,"Abilify FDA label and concordant reviews: aripiprazole and dehydro-aripiprazole are greater than 99 percent bound to serum proteins, primarily albumin. Using 0.99 as the conservative (higher free) reading of "">99"".",230,pediatric_TDM_upper_reference_bound,"TDM-VIGIL pharmacovigilance study, 93 youth, mean age 15.2 (range 7.4 to 18.2). Preliminary therapeutic reference range by IQR: schizophrenia-spectrum 100 to 230 ng/mL; affective 60 to 160; behavioural/tic 60 to 140. Using the upper bound of the highest range as worst case.",medium,448.4,medium,no_ic50_but_excluded_by_free_concentration_argument,hERG IC50 STILL NOT FOUND (Part 3 item). Kramer 2013 and Perrin 2008 confirmed NOT to contain it. HOWEVER the row is resolvable without it: see required-IC50 argument. Free fraction 0.01 is the lowest in the drug set by a factor of two.
SER,Sertraline,SSRI,0,,700,"Wide spectrum of inhibitory effects of sertraline on cardiac ion channels. Korean J Physiol Pharmacol 2012, PMID 23118556. Hill fit, n=4, IC50 0.7 +/- 0.01 uM, nH 1.3.",whole_cell_patch_clamp_HEK293_tail_current,37,high,0.980,"FDA Zoloft label. In vitro binding with radiolabeled 3H-sertraline, 98 percent bound across 20 to 500 ng/mL.",165,measured_pediatric_cmax_200mg_per_day,"FDA Zoloft label pediatric PK study, 61 patients (29 aged 6 to 12, 32 aged 13 to 17), 42 days chronic dosing titrated to 200 mg/day. Mean Cmax 165 ng/mL in the 6 to 12 group.",high,306.2,medium,verified_patch_clamp_primary,"Same paper reports multichannel block: IKs 12.3 to 15.2 uM, IK1 10.5 uM, INa 6.1 uM, ICa 2.6 uM. All far above therapeutic free concentration. Cmax is at max pediatric dose, so this is a worst case. || TEMP: CONFIRMED. Full text read: ""continuously perfused with 37 +/- 1 C bath solution."""
FLU,Fluoxetine,SSRI,0,,700,"Rajamani et al, Br J Pharmacol 2006;149:481-489, PMC2014667. IC50 0.7 +/- 0.1 uM by square pulse (23 C, slope 1.0) AND 0.7 +/- 0.1 uM by ventricular AP waveform (37 C, slope 1.4). n=5-6 cells per concentration.",whole_cell_patch_clamp_HEK293_AP_waveform_37C,37,high,0.945,FDA Prozac label. 94.5 percent bound in vitro to human serum proteins over 200 to 1000 ng/mL.,123.66,measured_pediatric_steady_state_mean,"TDM-VIGIL trial, 138 children and adolescents, mean age 15, range 7 to 18, fluoxetine 10 to 40 mg/day. Mean steady state serum fluoxetine 123.66 +/- 65.17 ng/mL, range 17 to 396. SUPERSEDES my earlier derived value of 133.",high,309.3,medium,verified_patch_clamp_primary,"SUPERSEDES Witchel 2002 value of 1500 nM. Rajamani measured at BOTH 23 C and 37 C and got the same IC50, which argues against a large temperature effect for this compound. Trafficking disruption dC50 2.7 uM, separate mechanism, slow onset, not modelable as Hill block. || LITERATURE SPREAD for this one drug: 0.7 uM (Rajamani 2006, 37 C AP waveform), 1.5 uM (Witchel 2002), 2.1 uM (Donovan 2011, PatchXpress), 3.1 uM (Thomas 2002). 4.4-fold across labs."
NORFLU,Norfluoxetine,SSRI_metabolite,1,FLU,2500,"Rajamani et al, Br J Pharmacol 2006;149:481-489. IC50 2.3 +/- 0.2 uM square pulse (23 C) and 2.5 +/- 0.1 uM AP waveform (37 C).",whole_cell_patch_clamp_HEK293_AP_waveform_37C,37,high,,"NOT FOUND IN HUMANS after dedicated search. Fluoxetine is 94.5 percent (FDA label). For norfluoxetine, sources say only ""extensively bound"" without a number. The only figure located is 85 to 90 percent for BOTH compounds in RAT (Caccia et al, Psychopharmacology 1990). Do not use a rat value.",144.74,measured_pediatric_steady_state_mean,"TDM-VIGIL trial, same cohort. Mean steady state norfluoxetine 144.74 +/- 65.93 ng/mL, range 21 to 339. FDA label reports 195 ng/mL in children and 113 in adolescents; TDM value sits between and is measured in the target population.",high,295.3,medium,excluded_by_total_concentration_ceiling,"fraction_bound NOT separately sourced. Rajamani states both compounds are highly protein bound but gives no number for the metabolite. Do not assume the parent 0.945. Trafficking dC50 5.1 uM. Also an IKs blocker at 5.3 uM. || CLOSED WITHOUT THE BINDING VALUE. At the measured pediatric mean of 144.74 ng/mL, TOTAL concentration is 490.1 nM. To reach 20 percent block against IC50 2500 nM requires 625 nM FREE. Total is below that, so 20 percent is unreachable even at zero protein binding. Even at the top of the observed pediatric range (339 ng/mL, 1148 nM total), plausible binding of 85 to 95 percent gives 2 to 6 percent block."
ESC,Escitalopram,SSRI,0,,700,"Zhang et al, Cardiology Journal 2014. Patch clamp at physiological temperature. Escitalopram 0.70 +/- 0.06 uM, citalopram 0.68 +/- 0.08, R-citalopram 0.67 +/- 0.02.",whole_cell_patch_clamp_physiological_temperature,37,high,0.560,FDA Lexapro label. Binding of escitalopram to human plasma proteins is approximately 56 percent.,73.73,"MEASURED pediatric popPK Cmax, CYP2C19 normal metabolizer, normalized to 20 mg/day steady state","Poweleit EA, Taylor ZL, Mizuno T, Vaughn SE, Desta Z, Strawn JR, Ramsey LB. Escitalopram and sertraline population pharmacokinetic analysis in pediatric patients. Clin Pharmacokinet 2023;62(11):1621-1637, PMID 37755681, PMC free. Table 3, normalized to 20 mg/day and BSA 1.73 m2. Normalized Cmax by CYP2C19 phenotype (ng/mL, median): poor 186.0, intermediate 95.51, normal 73.73, rapid 70.14, ultrarapid 65.05, p<0.0001. Observed (non-normalized) Cmax: poor 119.1, intermediate 52.18, normal 49.75, rapid 35.51, ultrarapid 28.26.",high_measured,324.4,medium,verified_patch_clamp_primary_37C,"TEMPERATURE DISCREPANCY, 4x. Chae et al Naunyn-Schmiedeberg 2013 PMID 24045971 reports 2.6 uM escitalopram and 3.2 uM citalopram. Zhang 2014 reports 0.70 uM at physiological temperature and explicitly extends Chae. Using the physiological temperature value since the ORd model runs at 37 C. Also: didesmethylcitalopram inhibits IKs at 0.28 uM, a metabolite IKs effect implicated in canine sudden deaths. || TEMP: CONFIRMED. Zhang 2014 states physiological temperature explicitly. || WATCH THIS DRUG. Free fraction 0.44 is 22x higher than sertraline (0.02) at an identical IC50. Lowest protein binding in the whole set. || RESOLVED: Chae 2013 Methods confirm room temperature 22-24 C. Zhang 2014 is 37 C. The 3.7x gap is a temperature difference, same drug, not lab noise. Using the 37 C value is correct. || CMAX TENSION, UNRESOLVED. FDA Clin Pharm review NDA 21323 S-30 (Andre Jackson, 2009) reviewed three pediatric PK studies. Study SCT-PK-10-A single 10 mg: adolescents 26 percent higher Cmax, 19 percent lower AUC than adults. Study CIT-PK-13 single 20 mg citalopram in ages 7 to 11: Cmax 2-fold higher, AUC 38 percent higher, CL/F 28 percent lower than adults. BUT the reviewer concluded the single-dose increase is NOT relevant because dosing is multiple, and at steady state ""exposure for children is similar to adults for approximately 75 to 80 percent of subjects"". This CONFLICTS with the newer GAD multidisciplinary review stating steady-state Cmax in ages 7 to 11 at 20 mg once daily is ~93 percent higher than adults. All absolute Cmax tables in the 2009 review are images and did not extract. Range of defensible block estimates: 3.5 percent (bottom of AGNP TRR) to 23 percent (top of range with the 7-to-11 multiplier). || REVISED DOWNWARD. The 15 to 80 ng/mL range I originally used traces to Baumann 2004 / the SPC and is not supported by the 2022 meta-analysis. Evidence for a concentration-effect relationship in escitalopram was graded level C (low). || PART 3 CLOSED. Escitalopram t1/2 in CYP2C19 poor metabolizers is 60.99 h vs 21.81 h in normal metabolizers, a ~3-fold increase. Normalized Ctrough 151.1 ng/mL (PM) vs 38.0 (NM), 3.98-fold. Authors note PM Ctrough exceeds the adult upper reference range at doses >=10 mg/day and approaches the laboratory alert level at 20 mg/day. CYP2C19 phenotype is the dominant covariate on CL/F."
