drug_name,drug_class,ic50_nM,ic50_low_nM,ic50_high_nM,cmax_free_nM,primary_mechanism,secondary_mechanism,data_quality,chembl_source,lit_source,adolescent_flag,notes,safety_index,safety_index_low,safety_index_high,risk_hERG_single,IKr_block_pct
Imipramine,TCA,3388,3000,3400,25.0,hERG_block,NE_reuptake + anticholinergic,A,CHEMBL11 (patch clamp confirmed),Witchel 2002; Redfern 2003,Cmax adult-derived; CYP2D6 variability expected,Anchor drug; best characterized. Active metabolite desipramine also hERG active ~2000 nM,135.52,120.0,136.0,LOW,0.73
Nortriptyline,TCA,1100,1100,1540,30.0,hERG_block,NE_reuptake + anticholinergic,A,sparse (binding only),Witchel 2002; Perrin 2008,Cmax adult-derived,More potent hERG block than imipramine despite same class,36.666666666666664,36.666666666666664,51.333333333333336,LOW,2.65
Risperidone,Atypical antipsychotic,560,560,700,2.0,hERG_block,D2 + 5HT2A antagonism,A,not indexed under parent ID,Kongsamut 2002; Kramer 2013,Cmax adult-derived; active metabolite 9-OH-risperidone also QTc active,Lowest IC50 among antipsychotics; highest intrinsic hERG risk in class. Safety index ~280x but active metabolite adds,280.0,280.0,350.0,LOW,0.36
Quetiapine,Atypical antipsychotic,1070,1070,2300,10.0,hERG_block,D2 + H1 + alpha1 antagonism,A,not indexed (known gap),Kongsamut 2002; Vieweg 2004,Cmax adult-derived; heavy off-label use in adolescents,Wide assay variability (2x spread binding vs patch clamp). Off-label pediatric use very common,107.0,107.0,230.0,LOW,0.93
Aripiprazole,Atypical antipsychotic,1135,896,2378,50.0,hERG_block,D2 partial agonist + 5HT1A,A,CHEMBL1112 (patch clamp confirmed),Kramer 2013; Perrin 2008,Cmax adult-derived; FDA approved pediatric use (bipolar/irritability),Best hERG safety profile among antipsychotics. High protein binding means free Cmax low,22.7,17.92,47.56,MODERATE,4.22
Sertraline,SSRI,518,446,590,1.0,hERG_block,SERT inhibition,A,sparse,Polak 2009; Kramer 2013,Cmax adult-derived; commonly used in adolescents,Most potent hERG block among SSRIs by IC50 but very high protein binding drives safety index up. Still worth modeling in combination,518.0,446.0,590.0,LOW,0.19
Fluoxetine,SSRI,1513,1513,3162,5.0,hERG_block,SERT inhibition,A,CHEMBL41 (patch clamp confirmed),Polak 2009; Tarantino 2011,FDA approved pediatric depression age 8+; Cmax adult-derived,Active metabolite norfluoxetine IC50 ~3000 nM; long half-life means accumulation. Must model parent + metabolite,302.6,302.6,632.4,LOW,0.33
Escitalopram,SSRI,9500,9500,14800,3.0,hERG_block,SERT inhibition,B,not indexed,Polak 2009; Tarantino 2011,Cmax adult-derived; known QTc prolongation in overdose,Weak single-drug hERG but FDA has QTc warning. May have hERG-independent QTc mechanism. Flag for polypharmacy modeling,3166.6666666666665,3166.6666666666665,4933.333333333333,LOW,0.03
Clonidine,Alpha-2 agonist,17378,17378,28000,0.5,autonomic_modulation,weak_hERG_block,B,"CHEMBL600 (1 record, unspecified assay)",Redfern 2003,Very commonly used in pediatric ADHD/aggression; Cmax adult-derived,"Primary cardiac risk is bradycardia + conduction slowing via alpha-2, not QTc. Model via autonomic pathway. hERG block negligible at therapeutic Cmax",34756.0,34756.0,56000.0,LOW,0.0
Guanfacine,Alpha-2 agonist,50000,30000,70000,0.3,autonomic_modulation,weak_hERG_block,C,no records,Perrin 2008 (estimate),FDA approved pediatric ADHD; Cmax adult-derived,IC50 is estimate only - flag as high uncertainty. Same autonomic mechanism as clonidine. PR prolongation is primary ECG concern,166666.6666666667,100000.0,233333.33333333334,LOW,0.0
Methylphenidate,Stimulant,100000,100000,200000,5.0,sympathomimetic,negligible_hERG,C,no records,Darpö 2001,Most prescribed psychiatric drug in children; Cmax adult-derived,"Cardiac risk via catecholamine release: HR increase, BP increase. Model via beta-adrenergic pathway (ICaL, If modulation). hERG block negligible",20000.0,20000.0,40000.0,LOW,0.0
Amphetamine,Stimulant,110000,110000,200000,20.0,sympathomimetic,negligible_hERG,C,no records,Darpö 2001,Cmax adult-derived,Same sympathomimetic pathway as methylphenidate but more pronounced catecholamine release. Model HR/BP effects not QTc,5500.0,5500.0,10000.0,LOW,0.02
